"OBJECT_ID","OWNER","REPOS","HEALTH_SCORE","HEALTH_SCORE_BY_AVERAGING","FORK_RATIO","STAR_RATIO","COMMITS_PER_DAY_RATIO","COMMITS_PER_DAY_PER_PERSON_RATIO","PR_OPEN_TIME_RATIO","PR_MERGE_TIME_RATIO","ISS_OPEN_TIME_RATIO","ISS_CLOSE_TIME_RATIO"
1334369,"resume","resume.github.com",0.0026,0.4188,0.03785019219448,0.135586238713504,0,0.008446144327716,0.437832074009107,0.501908091900068,1,1
119811010,"tabler","tabler",0.0011,0.3105,0.060359455622122,0.06001779476702,0.017252479061681,0.05193107593598,0.04117451073214,0.569371249380503,0.236695860480208,0.552136980445582
46629305,"NARKOZ","hacker-scripts",0.001,0.1811,0.207812445891194,0.117056613721743,0.00025749968413,0.006018885637735,0.25109452758776,0.209623969479097,0.761856926276773,0.189923396685565
698041,"caolan","async",0.0008,0.3214,0.080583163070956,0.08479206485204,0.009913737576573,0.03891983360361,0.536048132116123,1,0.04781091814854,0.120235375188833
6498492,"airbnb","javascript",0.0006,0.2611,0.57419399522111,0.284848085414882,0.007853740328482,0.035324691532116,0.335118204154679,0.164590162529857,0.048119121639859,0.020918449125442
167174,"jquery","jquery",0.0005,0.2486,0.631540672507532,0.170635339089172,0.008626239530841,0.19685539025594,0.805740221498429,0.163692945669249,0.027407547468181,0.028625043265096
12820537,"lord","slate",0.0005,0.2231,0.586348997472037,0.089804257562776,0.000514999368261,0.015169676725658,0.310343513084559,0.053652015337562,0.087948105663405,0.162776080643982
8843683,"chartjs","Chart.js",0.0003,0.196,0.335007099075389,0.145145982996112,0.027681214544329,0.067334132412043,0.721526749418488,0.280125776363008,0.019580608922455,0.02369564843801
952189,"jashkenas","backbone",0.0003,0.1334,0.197839110710946,0.090618203387596,0.000386249535568,0.074948882464923,0.775783719980086,0.090803379918461,0.241759258769395,0.154442457079751
1844251,"tastejs","todomvc",0.0002,0.177,0.465214530595283,0.084126408752389,0.003089996340785,0.065782979623493,0.543376221725399,0.081083664468204,0.169653894823179,0.077657358999895
349241,"jashkenas","underscore",0.0002,0.1236,0.187103923537764,0.081048573123311,0.000128749842065,0.05184752873158,0.798450303468463,0.119854624629473,0.218075953583366,0.10638603593187
28457823,"freeCodeCamp","freeCodeCamp",0.0001,0.4468,0.765869030716487,1,1,0.309313967425791,0.166402648896055,0.00796705010572,0.010092710112923,0.013477669460485
1861458,"hakimel","reveal.js",0.0001,0.1855,0.472278976347959,0.154867198312793,0.014548731853426,0.05950786152436,0.27086722474029,0.096245317457066,0.060757783919784,0.01871097360955
18280236,"GitbookIO","gitbook",0.0001,0.1468,0.10340409322298,0.068813023133197,0.00025749968413,0.089087597828386,0.176948169337124,0.031358144284573,0.693374463207622,0.383491222208812
3065454,"impress","impress.js",0.0001,0.1359,0.236347265990234,0.114901469715943,0.001673748021831,0.016855566523303,0.811852554657301,0.022863634550266,0.397630939919911,0.16962982067259
126577260,"trekhleb","javascript-algorithms",0.0001,0.1332,0.252900232018561,0.164842153825875,0.038238702081066,0.029965451596982,0.052328925389645,0.08245238204249,0.12802511643451,0.03275627589739
667006,"videojs","video.js",0.0001,0.1161,0.208228001523704,0.083394846108219,0.036307454075169,0.093492208982585,0.563898391022932,0.154281138124005,0.027687558964331,0.018668696823628
32948863,"jondot","awesome-react-native",0.0001,0.1151,0.103958167399661,0.08071244974626,0.024076218891521,0.019036875132201,0.065091552106658,0.03144087779992,0.096408144138352,0.24422809155858
13584262,"webtorrent","webtorrent",0.0001,0.1112,0.065934827024968,0.06512555196731,0.012102485941455,0.070965240076148,0.151184125488631,0.141827468223235,0.104193845549756,0.172028619881185
42751014,"zenorocha","clipboard.js",0.0001,0.1064,0.106867056827233,0.086676992025308,0.00205999752928,0.017700181555383,0.246990948274304,0.162183125950666,0.20495450036646,0.070041133940503
3602123,"hammerjs","hammer.js",0.0001,0.1025,0.087855386639887,0.066440387530482,0.000128749842065,0.043269438764718,0.257589810574744,0.177630999418188,0.768866731800563,0.078153180099696
14747598,"typicode","json-server",0.0001,0.0946,0.126190393738962,0.134732748961972,0.008626239530841,0.041011538461539,0.234617585376585,0.07591268588601,0.187027966773258,0.041599181176415
10270250,"facebook","react",0,0.327,0.839699414759151,0.433289395636987,0.137504822402492,0.236268772474089,0.150887279757746,0.031932994955933,0.004683663951514,0.003036610193724
460078,"angular","angular.js",0,0.3069,1,0.196292756870757,0.016093730258143,0.23387153634633,1,0.00546121525092,0.013254876001242,0.026010939559421
